"1","Kaufman","Kaufman","Kaufman","Park","Park","Park","Park","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Park","Write-in","","Kaufman","Overvote","Write-in","","Kaufman","Park","",""
"11-205 Hillside No. 1","226","69","5","118","71","0","0","0","0","0","11","0"
"11-210 Hillside No. 2","483","129","4","259","125","0","1","2","0","0","30","0"
"11-215 Hillside No. 3","317","75","4","140","58","0","1","0","1","0","19","0"
"11-220 Hillside No. 4","372","57","8","153","52","0","1","0","0","0","16","0"
"11-225 Hillside No. 5","351","58","6","193","45","0","0","1","0","0","40","0"
"11-230 Hillside No. 6","447","73","6","226","82","0","2","0","1","0","19","0"
"11-235 Hillside No. 7","315","33","11","172","44","0","4","0","0","0","14","0"
"12-250 Southeast Anchorage No. 1","306","76","8","210","104","0","4","0","2","1","24","0"
"12-255 Southeast Anchorage No. 2","242","55","3","127","53","0","1","1","0","0","12","0"
"12-260 Southeast Anchorage No. 3","287","82","5","197","81","0","2","0","0","1","19","1"
"12-265 Southeast Anchorage No. 4","310","71","2","207","97","0","3","0","0","0","25","0"
"12-270 Southeast Anchorage No. 5","386","90","9","260","109","0","5","0","1","0","29","0"
"12-275 Southeast Anchorage No. 6","342","68","10","280","101","0","5","0","0","0","18","0"
"District 11 - Absentee","738","136","12","813","180","0","11","4","2","0","90","0"
"District 11 - Early Voting","476","76","10","370","109","1","7","2","0","1","26","0"
"District 11  - Question","45","16","3","21","6","0","0","0","0","0","85","0"
"District 12 - Absentee","376","95","12","711","169","0","12","5","0","2","59","1"
"District 12 - Early Voting","315","58","7","349","103","0","3","1","0","0","16","1"
"District 12  - Question","21","8","1","18","4","0","0","0","1","0","94","0"
"Total","6355","1325","126","4824","1593","1","62","16","8","5","646","3"
