"1","Claman","Claman","Claman","Claman","Costello","Costello","Costello","Costello","Overvote","Write-in","Write-in","Write-in","Blank"
"2","","Costello","Overvote","Write-in","","Claman","Overvote","Write-in","","","Claman","Costello",""
"15-405 Southwest Anchorage No. 1","169","60","0","2","293","58","0","4","0","0","0","0","10"
"15-410 Southwest Anchorage No. 2","168","94","0","4","353","83","0","5","0","0","0","0","19"
"15-415 Southwest Anchorage No. 3","238","105","0","9","414","119","0","9","0","0","0","2","15"
"15-420 Southwest Anchorage No. 4","187","109","0","4","257","75","0","5","0","0","0","1","17"
"15-425 Southwest Anchorage No. 5","238","99","0","5","332","68","0","7","0","0","2","0","19"
"15-430 Southwest Anchorage No. 6","314","148","0","3","526","114","0","16","0","1","0","1","22"
"16-450 West Anchorage No. 1","347","72","0","7","176","43","0","2","0","0","0","0","9"
"16-455 West Anchorage No. 2","262","103","1","9","229","73","0","5","1","0","0","0","4"
"16-460 West Anchorage No. 3","340","155","0","12","335","99","0","6","1","2","0","0","21"
"16-465 West Anchorage No. 4","155","59","0","5","198","56","0","3","0","0","0","0","9"
"16-470 West Anchorage No. 5","269","76","0","3","384","101","0","17","3","0","0","0","11"
"16-475 West Anchorage No. 6","227","92","0","12","319","62","0","11","0","2","0","0","6"
"16-480 West Anchorage No. 7","184","78","0","5","183","68","0","6","1","0","0","0","12"
"District 15 - Absentee","777","204","0","17","575","106","1","9","1","11","0","2","51"
"District 15 - Early Voting","319","135","0","6","399","71","0","12","0","2","0","1","11"
"District 15  - Question","19","6","0","2","30","8","0","0","0","2","0","0","129"
"District 16 - Absentee","958","208","0","24","434","96","0","8","0","12","0","3","67"
"District 16 - Early Voting","590","141","0","17","310","60","0","11","0","6","0","0","18"
"District 16  - Question","19","8","0","0","31","9","0","1","0","1","0","0","105"
"Total","5780","1952","1","146","5778","1369","1","137","7","39","2","10","555"
